freq__2019-06-28_12-09-26_,rs__2019-06-28_12-09-26_,xs__2019-06-28_12-09-26_,freq__2019-06-28_12-12-26_,rs__2019-06-28_12-12-26_,xs__2019-06-28_12-12-26_,freq__2019-06-28_12-14-11_,rs__2019-06-28_12-14-11_,xs__2019-06-28_12-14-11_,freq__2019-06-28_12-15-56_,rs__2019-06-28_12-15-56_,xs__2019-06-28_12-15-56_,freq__2019-06-28_12-17-41_,rs__2019-06-28_12-17-41_,xs__2019-06-28_12-17-41_,freq__2019-06-28_12-19-26_,rs__2019-06-28_12-19-26_,xs__2019-06-28_12-19-26_,freq__2019-06-28_12-21-11_,rs__2019-06-28_12-21-11_,xs__2019-06-28_12-21-11_,freq__2019-06-28_12-22-56_,rs__2019-06-28_12-22-56_,xs__2019-06-28_12-22-56_,freq__2019-06-28_12-24-41_,rs__2019-06-28_12-24-41_,xs__2019-06-28_12-24-41_
64342740.0,11.2578125,-105.8125,64341863.0,11.2265625,-105.875,64341968.0,11.2109375,-105.875,64342003.0,11.171875,-105.875,64341967.0,11.15625,-105.9375,64342002.0,11.1484375,-105.9375,64341966.0,11.109375,-105.9375,64342001.0,11.1015625,-105.9375,64341965.0,11.0859375,-105.9375
64342810.0,11.21875,-105.8125,64341933.0,11.2265625,-105.875,64342038.0,11.1953125,-105.875,64342073.0,11.1796875,-105.875,64342037.0,11.171875,-105.875,64342072.0,11.140625,-105.9375,64342036.0,11.109375,-105.9375,64342071.0,11.1015625,-105.9375,64342035.0,11.1015625,-106.0
64342880.0,11.25,-105.8125,64342003.0,11.234375,-105.875,64342108.0,11.1875,-105.875,64342143.0,11.1875,-105.875,64342107.0,11.140625,-105.875,64342142.0,11.1328125,-105.9375,64342106.0,11.125,-105.9375,64342141.0,11.125,-105.9375,64342105.0,11.078125,-105.9375
64342950.0,11.2578125,-105.8125,64342073.0,11.21875,-105.875,64342178.0,11.21875,-105.875,64342213.0,11.1640625,-105.875,64342177.0,11.1484375,-105.875,64342212.0,11.140625,-105.9375,64342176.0,11.1328125,-105.9375,64342211.0,11.1015625,-105.9375,64342175.0,11.0859375,-105.9375
64343020.0,11.25,-105.8125,64342143.0,11.21875,-105.875,64342248.0,11.2109375,-105.875,64342283.0,11.1796875,-105.875,64342247.0,11.1640625,-105.875,64342282.0,11.1484375,-105.9375,64342246.0,11.1015625,-105.875,64342281.0,11.125,-105.9375,64342245.0,11.0703125,-105.9375
64343091.0,11.25,-105.8125,64342214.0,11.25,-105.875,64342319.0,11.203125,-105.875,64342354.0,11.203125,-105.875,64342318.0,11.1640625,-105.875,64342353.0,11.1328125,-105.9375,64342317.0,11.125,-105.875,64342352.0,11.109375,-105.875,64342316.0,11.09375,-105.9375
64343161.0,11.2734375,-105.8125,64342284.0,11.2265625,-105.875,64342389.0,11.1953125,-105.875,64342424.0,11.171875,-105.875,64342388.0,11.1484375,-105.875,64342423.0,11.1328125,-105.875,64342387.0,11.125,-105.875,64342422.0,11.109375,-105.9375,64342386.0,11.09375,-105.9375
64343231.0,11.2578125,-105.8125,64342354.0,11.2578125,-105.875,64342459.0,11.203125,-105.875,64342494.0,11.1953125,-105.875,64342458.0,11.125,-105.875,64342493.0,11.140625,-105.875,64342457.0,11.1171875,-105.875,64342492.0,11.125,-105.875,64342456.0,11.1015625,-105.9375
64343301.0,11.2421875,-105.8125,64342424.0,11.2421875,-105.875,64342529.0,11.21875,-105.8125,64342564.0,11.1796875,-105.875,64342528.0,11.1640625,-105.875,64342563.0,11.140625,-105.875,64342527.0,11.1328125,-105.875,64342562.0,11.1328125,-105.875,64342526.0,11.0703125,-105.9375
64343371.0,11.2421875,-105.8125,64342494.0,11.2265625,-105.875,64342599.0,11.203125,-105.875,64342634.0,11.1796875,-105.8125,64342598.0,11.1640625,-105.875,64342633.0,11.1640625,-105.875,64342597.0,11.1171875,-105.875,64342632.0,11.125,-105.875,64342596.0,11.078125,-105.9375
