date,time,pressure,pressure_setpoint,mfc1_Ar,mfc2_Ar,rh,rh_setpoint,temp,bias,current,max_iv_current,max_cv_current,cv_area,low_freq_z,note
2019-06-27_15-03-28,240.839,,,,,,,,,,,,,,pbi
2019-06-27_15-03-30,240.872,,,,,,,,,,,,,,pbi
2019-06-27_15-03-32,240.905,,,,,,,,,,,,,,pbi
2019-06-27_15-03-34,240.938,,,,,,,,,,,,,,pbi
2019-06-27_15-03-36,240.972,,,,,,,,,,,,,,pbi
2019-06-27_15-03-38,241.005,,,,,,,,,,,,,,pbi
2019-06-27_15-03-40,241.038,,,,,,,,,,,,,,pbi
2019-06-27_15-03-42,241.072,,,,,,,,,,,,,,pbi
2019-06-27_15-03-44,241.106,,,,,,,,,,,,,,pbi
2019-06-27_15-03-46,241.138,,,,,,,,,,,,,,pbi
2019-06-27_15-03-48,241.172,,,,,,,,,,,,,,pbi
2019-06-27_15-03-50,241.205,,,,,,,,,,,,,,pbi
2019-06-27_15-03-52,241.238,,,,,,,,,,,,,,pbi
2019-06-27_15-03-54,241.272,,,,,,,,,,,,,,pbi
2019-06-27_15-03-56,241.306,,,,,,,,,,,,,,pbi
2019-06-27_15-03-58,241.339,,,,,,,,,,,,,,pbi
2019-06-27_15-04-00,241.372,,,,,,,,,,,,,,pbi
2019-06-27_15-04-02,241.406,,,,,,,,,,,,,,pbi
2019-06-27_15-04-04,241.438,,,,,,,,,,,,,,pbi
2019-06-27_15-04-06,241.472,,,,,,,,,,,,,,pbi
2019-06-27_15-04-08,241.506,,,,,,,,,,,,,,pbi
2019-06-27_15-04-10,241.539,,,,,,,,,,,,,,pbi
2019-06-27_15-04-12,241.572,,,,,,,,,,,,,,pbi
2019-06-27_15-04-14,241.606,,,,,,,,,,,,,,pbi
2019-06-27_15-04-16,241.639,,,,,,,,,,,,,,pbi
2019-06-27_15-04-18,241.672,,,,,,,,,,,,,,pbi
2019-06-27_15-04-20,241.705,,,,,,,,,,,,,,pbi
2019-06-27_15-04-22,241.739,,,,,,,,,,,,,,pbi
2019-06-27_15-04-24,241.772,,,,,,,,,,,,,,pbi
2019-06-27_15-04-26,241.805,,,,,,,,,,,,,,pbi
2019-06-27_15-04-28,241.839,,,,,,,,,,,,,,pbi
2019-06-27_15-04-30,241.872,,,,,,,,,,,,,,pbi
2019-06-27_15-04-32,241.905,,,,,,,,,,,,,,pbi
2019-06-27_15-04-34,241.938,,,,,,,,,,,,,,pbi
2019-06-27_15-04-36,241.972,,,,,,,,,,,,,,pbi
2019-06-27_15-04-38,242.005,,,,,,,,,,,,,,pbi
2019-06-27_15-04-40,242.039,,,,,,,,,,,,,,pbi
2019-06-27_15-04-42,242.072,,,,,,,,,,,,,,pbi
2019-06-27_15-04-44,242.105,,,,,,,,,,,,,,pbi
2019-06-27_15-04-46,242.138,,,,,,,,,,,,,,pbi
2019-06-27_15-04-48,242.172,,,,,,,,,,,,,,pbi
2019-06-27_15-04-50,242.205,,,,,,,,,,,,,,pbi
2019-06-27_15-04-52,242.238,,,,,,,,,,,,,,pbi
2019-06-27_15-04-54,242.272,,,,,,,,,,,,,,pbi
2019-06-27_15-04-56,242.305,,,,,,,,,,,,,,pbi
2019-06-27_15-04-58,242.339,,,,,,,,,,,,,,pbi
2019-06-27_15-05-00,242.372,,,,,,,,,,,,,,pbi
2019-06-27_15-05-02,242.405,,,,,,,,,,,,,,pbi
2019-06-27_15-05-04,242.439,,,,,,,,,,,,,,pbi
2019-06-27_15-05-06,242.472,,,,,,,,,,,,,,pbi
2019-06-27_15-05-08,242.506,,,,,,,,,,,,,,pbi
2019-06-27_15-05-10,242.539,,,,,,,,,,,,,,pbi
2019-06-27_15-05-12,242.572,,,,,,,,,,,,,,pbi
2019-06-27_15-05-14,242.606,,,,,,,,,,,,,,pbi
2019-06-27_15-05-16,242.639,,,,,,,,,,,,,,pbi
2019-06-27_15-05-18,242.672,,,,,,,,,,,,,,pbi
2019-06-27_15-05-20,242.705,,,,,,,,,,,,,,pbi
2019-06-27_15-05-22,242.739,,,,,,,,,,,,,,pbi
2019-06-27_15-05-24,242.772,,,,,,,,,,,,,,pbi
2019-06-27_15-05-26,242.806,,,,,,,,,,,,,,pbi
2019-06-27_15-05-28,242.838,,,,,,,,,,,,,,pbi
2019-06-27_15-05-30,242.872,,,,,,,,,,,,,,pbi
2019-06-27_15-05-32,242.905,,,,,,,,,,,,,,pbi
2019-06-27_15-05-34,242.939,,,,,,,,,,,,,,pbi
2019-06-27_15-05-36,242.972,,,,,,,,,,,,,,pbi
2019-06-27_15-05-38,243.006,,,,,,,,,,,,,,pbi
2019-06-27_15-05-40,243.039,,,,,,,,,,,,,,pbi
2019-06-27_15-05-42,243.072,,,,,,,,,,,,,,pbi
2019-06-27_15-05-44,243.106,,,,,,,,,,,,,,pbi
2019-06-27_15-05-46,243.139,,,,,,,,,,,,,,pbi
2019-06-27_15-05-48,243.172,,,,,,,,,,,,,,pbi
2019-06-27_15-05-50,243.205,,,,,,,,,,,,,,pbi
2019-06-27_15-05-52,243.239,,,,,,,,,,,,,,pbi
2019-06-27_15-05-54,243.272,,,,,,,,,,,,,,pbi
2019-06-27_15-05-56,243.305,,,,,,,,,,,,,,pbi
2019-06-27_15-05-58,243.339,,,,,,,,,,,,,,pbi
2019-06-27_15-06-00,243.372,,,,,,,,,,,,,,pbi
2019-06-27_15-06-02,243.405,,,,,,,,,,,,,,pbi
2019-06-27_15-06-04,243.438,,,,,,,,,,,,,,pbi
2019-06-27_15-06-06,243.472,,,,,,,,,,,,,,pbi
2019-06-27_15-06-08,243.506,,,,,,,,,,,,,,pbi
2019-06-27_15-06-10,243.539,,,,,,,,,,,,,,pbi
2019-06-27_15-06-12,243.572,,,,,,,,,,,,,,pbi
2019-06-27_15-06-14,243.605,,,,,,,,,,,,,,pbi
2019-06-27_15-06-16,243.639,,,,,,,,,,,,,,pbi
2019-06-27_15-06-18,243.672,,,,,,,,,,,,,,pbi
2019-06-27_15-06-20,243.705,,,,,,,,,,,,,,pbi
2019-06-27_15-06-22,243.738,,,,,,,,,,,,,,pbi
2019-06-27_15-06-24,243.772,,,,,,,,,,,,,,pbi
2019-06-27_15-06-26,243.805,,,,,,,,,,,,,,pbi
2019-06-27_15-06-28,243.839,,,,,,,,,,,,,,pbi
2019-06-27_15-06-30,243.872,,,,,,,,,,,,,,pbi
2019-06-27_15-06-32,243.905,,,,,,,,,,,,,,pbi
