freq__2019-06-27_16-18-43_,rs__2019-06-27_16-18-43_,xs__2019-06-27_16-18-43_,freq__2019-06-27_16-27-24_,rs__2019-06-27_16-27-24_,xs__2019-06-27_16-27-24_,freq__2019-06-27_16-27-43_,rs__2019-06-27_16-27-43_,xs__2019-06-27_16-27-43_,freq__2019-06-27_16-27-56_,rs__2019-06-27_16-27-56_,xs__2019-06-27_16-27-56_
4959650.0,8.1171875,-154.75,4961593.0,523.0,-9632.0,4957314.0,-1.9609375,-825.0,4957303.0,-3.06640625,-825.5
4959655.0,8.1953125,-151.375,4961613.0,534.0,-9016.0,4957334.0,-1.908203125,-822.5,4957323.0,-2.45703125,-823.5
4959660.0,8.2734375,-147.875,4961634.0,452.5,-8480.0,4957355.0,-1.48828125,-820.0,4957344.0,-3.208984375,-821.0
4959665.0,8.3828125,-144.375,4961654.0,413.75,-8024.0,4957375.0,-1.8212890625,-817.5,4957364.0,-2.703125,-818.5
4959670.0,8.4609375,-141.0,4961674.0,330.25,-7584.0,4957395.0,-2.23828125,-815.0,4957384.0,-2.392578125,-816.0
4959675.0,8.5390625,-137.375,4961694.0,298.0,-7160.0,4957415.0,-2.048828125,-813.5,4957404.0,-2.548828125,-813.0
4959680.0,8.5859375,-133.875,4961714.0,240.875,-6888.0,4957435.0,-1.83203125,-809.5,4957424.0,-3.361328125,-810.5
4959685.0,8.6953125,-130.25,4961734.0,261.0,-6576.0,4957455.0,-1.412109375,-807.5,4957444.0,-2.650390625,-807.5
4959690.0,8.7890625,-126.8125,4961754.0,198.625,-6272.0,4957475.0,-2.169921875,-805.0,4957464.0,-2.642578125,-805.0
4959695.0,8.859375,-123.1875,4961774.0,203.125,-6040.0,4957495.0,-2.0859375,-802.5,4957484.0,-3.111328125,-802.0
4959700.0,8.953125,-119.5,4961794.0,193.875,-5868.0,4957515.0,-1.7392578125,-799.0,4957504.0,-2.791015625,-800.0
4959705.0,9.109375,-115.8125,4961814.0,192.375,-5644.0,4957535.0,-2.134765625,-796.5,4957524.0,-2.916015625,-797.5
