freq__2019-06-27_16-18-43_,rs__2019-06-27_16-18-43_,xs__2019-06-27_16-18-43_
24759905.0,7.15234375,-254.25
24759915.0,7.109375,-254.25
24759925.0,7.0859375,-254.25
24759935.0,7.24609375,-254.125
24759945.0,7.1015625,-254.125
24759955.0,7.125,-254.25
24759965.0,7.16015625,-254.125
24759975.0,7.078125,-254.25
24759985.0,7.08984375,-254.125
24759995.0,7.16796875,-254.125
24760005.0,7.14453125,-254.125
24760015.0,7.1171875,-254.0
24760025.0,7.09765625,-254.0
24760035.0,7.11328125,-254.125
24760045.0,7.14453125,-254.0
24760055.0,7.1328125,-254.0
24760065.0,7.1328125,-254.0
24760075.0,7.1328125,-253.875
24760085.0,7.0390625,-254.0
24760096.0,7.1953125,-253.875
24760106.0,7.109375,-253.875
24760116.0,7.13671875,-253.875
24760126.0,7.1171875,-253.875
24760136.0,7.109375,-253.75
24760146.0,7.12109375,-253.75
24760156.0,7.125,-253.75
24760166.0,7.1875,-253.75
24760176.0,7.16796875,-253.75
24760186.0,7.18359375,-253.625
24760196.0,7.14453125,-253.625
24760206.0,7.09765625,-253.625
24760216.0,7.09375,-253.625
24760226.0,7.12109375,-253.625
24760236.0,7.10546875,-253.5
24760246.0,7.1796875,-253.5
24760256.0,7.15625,-253.5
24760266.0,7.05078125,-253.5
24760276.0,7.140625,-253.5
24760286.0,7.17578125,-253.5
24760296.0,7.11328125,-253.375
24760306.0,7.1171875,-253.375
24760316.0,7.07421875,-253.375
24760326.0,7.07421875,-253.375
24760336.0,7.10546875,-253.375
24760346.0,7.0625,-253.375
24760356.0,7.11328125,-253.25
24760366.0,7.13671875,-253.25
24760376.0,7.1484375,-253.25
24760386.0,7.1328125,-253.25
24760396.0,7.1015625,-253.25
24760406.0,7.19921875,-253.125
24760416.0,7.06640625,-253.125
24760426.0,7.171875,-253.125
24760436.0,7.23046875,-253.125
24760446.0,7.140625,-253.125
24760456.0,7.16015625,-253.0
24760466.0,7.05859375,-253.0
24760476.0,7.13671875,-253.0
24760486.0,7.10546875,-253.0
24760496.0,7.15625,-252.875
24760506.0,7.1015625,-253.0
24760516.0,7.11328125,-252.875
24760526.0,7.171875,-252.875
24760536.0,7.22265625,-252.875
24760546.0,7.1484375,-252.75
24760556.0,7.2109375,-252.875
24760566.0,7.07421875,-252.875
24760576.0,7.203125,-252.625
24760586.0,7.1640625,-252.75
24760596.0,7.078125,-252.75
24760606.0,7.140625,-252.75
24760616.0,7.125,-252.625
24760626.0,7.09375,-252.625
24760636.0,7.12109375,-252.625
24760646.0,7.13671875,-252.625
24760656.0,7.19921875,-252.625
24760666.0,7.1796875,-252.5
24760676.0,7.09765625,-252.5
24760686.0,7.1875,-252.5
24760696.0,7.1640625,-252.375
24760706.0,7.1484375,-252.375
24760716.0,7.11328125,-252.5
24760726.0,7.15625,-252.25
24760736.0,7.125,-252.375
24760746.0,7.18359375,-252.25
24760756.0,7.1796875,-252.25
24760766.0,7.14453125,-252.25
24760776.0,7.140625,-252.25
24760786.0,7.16796875,-252.25
24760796.0,7.109375,-252.125
24760806.0,7.11328125,-252.25
24760816.0,7.1875,-252.125
24760826.0,7.21484375,-252.125
24760836.0,7.1796875,-252.0
24760846.0,7.1484375,-252.0
24760856.0,7.11328125,-252.0
24760866.0,7.25,-252.0
24760876.0,7.06640625,-252.0
24760886.0,7.23046875,-251.875
24760896.0,7.14453125,-251.875
24760906.0,7.1484375,-251.875
24760916.0,7.09765625,-251.875
24760926.0,7.08203125,-251.875
24760936.0,7.1015625,-251.875
24760946.0,7.16015625,-251.75
24760956.0,7.19140625,-251.75
24760966.0,7.15234375,-251.875
24760976.0,7.1015625,-251.625
24760986.0,7.09765625,-251.625
24760996.0,7.16015625,-251.625
24761006.0,7.19140625,-251.625
24761016.0,7.15625,-251.625
24761026.0,7.15625,-251.625
24761036.0,7.17578125,-251.5
24761046.0,7.10546875,-251.5
24761056.0,7.21484375,-251.5
24761066.0,7.10546875,-251.375
24761076.0,7.140625,-251.375
24761086.0,7.1796875,-251.375
24761096.0,7.125,-251.25
24761106.0,7.1328125,-251.375
24761116.0,7.17578125,-251.25
24761126.0,7.125,-251.25
24761136.0,7.16015625,-251.125
24761146.0,7.16015625,-251.25
24761156.0,7.125,-251.0
24761166.0,7.1796875,-251.125
24761176.0,7.19140625,-251.125
24761186.0,7.17578125,-251.125
24761196.0,7.20703125,-251.0
24761206.0,7.11328125,-251.0
24761216.0,7.15625,-251.0
24761226.0,7.16796875,-250.875
24761236.0,7.1484375,-251.0
24761246.0,7.109375,-250.875
24761256.0,7.22265625,-250.75
24761266.0,7.12109375,-250.75
24761276.0,7.12109375,-250.75
24761286.0,7.109375,-250.75
