freq__2019-06-28_12-53-54_,rs__2019-06-28_12-53-54_,xs__2019-06-28_12-53-54_,freq__2019-06-28_13-04-33_,rs__2019-06-28_13-04-33_,xs__2019-06-28_13-04-33_
44597972.0,10.1875,-153.75,44597972.0,10.1484375,-153.875
44598002.0,10.1953125,-153.75,44598002.0,10.1328125,-153.75
44598032.0,10.1875,-153.75,44598032.0,10.1328125,-153.75
44598062.0,10.1953125,-153.75,44598062.0,10.09375,-153.75
44598092.0,10.203125,-153.625,44598092.0,10.1171875,-153.625
44598122.0,10.1796875,-153.625,44598122.0,10.09375,-153.625
44598153.0,10.1796875,-153.625,44598153.0,10.1171875,-153.625
44598183.0,10.15625,-153.625,44598183.0,10.0859375,-153.625
44598213.0,10.125,-153.625,44598213.0,10.0859375,-153.625
44598243.0,10.171875,-153.5,44598243.0,10.078125,-153.625
44598273.0,10.1484375,-153.5,44598273.0,10.109375,-153.5
44598303.0,10.15625,-153.5,44598303.0,10.1015625,-153.5
44598333.0,10.140625,-153.5,44598333.0,10.109375,-153.5
44598363.0,10.1171875,-153.5,44598363.0,10.0859375,-153.5
44598393.0,10.1328125,-153.375,44598393.0,10.09375,-153.5
44598423.0,10.1328125,-153.375,44598423.0,10.0625,-153.375
44598453.0,10.15625,-153.375,44598453.0,10.0625,-153.5
44598483.0,10.1171875,-153.375,44598483.0,10.0703125,-153.375
44598513.0,10.109375,-153.375,44598513.0,10.0546875,-153.375
44598543.0,10.1171875,-153.375,44598543.0,10.0546875,-153.375
44598573.0,10.1015625,-153.375,44598573.0,10.078125,-153.375
44598603.0,10.1328125,-153.375,44598603.0,10.0625,-153.375
44598633.0,10.125,-153.25,44598633.0,10.0390625,-153.375
44598663.0,10.1328125,-153.25,44598663.0,10.0390625,-153.375
44598693.0,10.125,-153.25,44598693.0,10.0625,-153.375
44598723.0,10.1328125,-153.25,44598723.0,10.0390625,-153.25
44598753.0,10.1171875,-153.25,44598753.0,10.0078125,-153.25
44598783.0,10.125,-153.25,44598783.0,10.0546875,-153.25
44598813.0,10.125,-153.25,44598813.0,10.0390625,-153.25
44598843.0,10.125,-153.25,44598843.0,10.046875,-153.25
44598873.0,10.0859375,-153.125,44598873.0,10.046875,-153.25
44598903.0,10.125,-153.125,44598903.0,10.046875,-153.25
44598933.0,10.1328125,-153.125,44598933.0,10.046875,-153.125
44598963.0,10.078125,-153.125,44598963.0,10.03125,-153.125
44598993.0,10.1171875,-153.125,44598993.0,10.03125,-153.125
44599023.0,10.109375,-153.125,44599023.0,10.0390625,-153.125
44599053.0,10.140625,-153.125,44599053.0,10.03125,-153.125
44599083.0,10.0859375,-153.125,44599083.0,10.015625,-153.125
