freq__2019-06-27_14-33-42_,rs__2019-06-27_14-33-42_,xs__2019-06-27_14-33-42_,freq__2019-06-27_14-41-42_,rs__2019-06-27_14-41-42_,xs__2019-06-27_14-41-42_,freq__2019-06-27_14-56-42_,rs__2019-06-27_14-56-42_,xs__2019-06-27_14-56-42_,freq__2019-06-27_15-03-26_,rs__2019-06-27_15-03-26_,xs__2019-06-27_15-03-26_,freq__2019-06-27_15-10-12_,rs__2019-06-27_15-10-12_,xs__2019-06-27_15-10-12_,freq__2019-06-27_15-16-58_,rs__2019-06-27_15-16-58_,xs__2019-06-27_15-16-58_,freq__2019-06-27_15-23-44_,rs__2019-06-27_15-23-44_,xs__2019-06-27_15-23-44_,freq__2019-06-27_15-30-28_,rs__2019-06-27_15-30-28_,xs__2019-06-27_15-30-28_,freq__2019-06-27_15-37-14_,rs__2019-06-27_15-37-14_,xs__2019-06-27_15-37-14_,freq__2019-06-27_15-44-02_,rs__2019-06-27_15-44-02_,xs__2019-06-27_15-44-02_,freq__2019-06-27_15-50-48_,rs__2019-06-27_15-50-48_,xs__2019-06-27_15-50-48_,freq__2019-06-27_15-57-32_,rs__2019-06-27_15-57-32_,xs__2019-06-27_15-57-32_,freq__2019-06-27_16-04-18_,rs__2019-06-27_16-04-18_,xs__2019-06-27_16-04-18_
64361790.0,11.234375,-104.875,64361517.0,11.140625,-104.875,64361517.0,10.9921875,-104.875,64361528.0,11.0234375,-104.8125,64361525.0,11.0078125,-104.875,64361516.0,10.96875,-104.875,64361515.0,10.984375,-104.875,64361512.0,10.953125,-104.875,64361514.0,10.9453125,-104.875,64361511.0,10.9453125,-104.875,64361512.0,10.9375,-104.875,64361514.0,10.9296875,-104.875,64361514.0,10.9375,-104.875
64361830.0,11.2421875,-104.8125,64361537.0,11.140625,-104.875,64361537.0,11.0,-104.8125,64361548.0,11.03125,-104.875,64361545.0,10.9921875,-104.875,64361536.0,10.9921875,-104.875,64361535.0,10.9609375,-104.875,64361532.0,10.9609375,-104.875,64361534.0,10.9609375,-104.875,64361531.0,10.9375,-104.875,64361532.0,10.9296875,-104.875,64361534.0,10.9296875,-104.8125,64361534.0,10.9296875,-104.875
64361870.0,11.234375,-104.8125,64361557.0,11.140625,-104.875,64361557.0,11.015625,-104.8125,64361568.0,11.0234375,-104.875,64361565.0,11.0234375,-104.875,64361556.0,10.9921875,-104.875,64361555.0,10.9609375,-104.875,64361552.0,10.96875,-104.875,64361554.0,10.953125,-104.9375,64361551.0,10.9609375,-104.875,64361552.0,10.9453125,-104.875,64361554.0,10.9296875,-104.875,64361554.0,10.9296875,-104.875
64361910.0,11.234375,-104.8125,64361577.0,11.140625,-104.875,64361577.0,11.015625,-104.8125,64361588.0,11.015625,-104.875,64361585.0,11.0078125,-104.875,64361576.0,10.9921875,-104.875,64361575.0,10.9765625,-104.875,64361572.0,10.9453125,-104.875,64361574.0,10.9453125,-104.875,64361571.0,10.9453125,-104.875,64361572.0,10.921875,-104.875,64361574.0,10.921875,-104.875,64361574.0,10.9375,-104.875
64361950.0,11.203125,-104.8125,64361597.0,11.1328125,-104.875,64361597.0,11.015625,-104.8125,64361608.0,11.015625,-104.8125,64361605.0,10.9921875,-104.8125,64361596.0,10.9921875,-104.875,64361595.0,10.96875,-104.875,64361592.0,10.9765625,-104.875,64361594.0,10.9609375,-104.875,64361591.0,10.953125,-104.875,64361592.0,10.9375,-104.875,64361594.0,10.9453125,-104.875,64361594.0,10.9140625,-104.875
64361990.0,11.2265625,-104.8125,64361617.0,11.1484375,-104.875,64361617.0,11.0234375,-104.8125,64361628.0,11.0078125,-104.875,64361625.0,11.0078125,-104.875,64361616.0,11.0,-104.875,64361615.0,10.9765625,-104.875,64361612.0,10.9453125,-104.875,64361614.0,10.9453125,-104.875,64361611.0,10.9453125,-104.875,64361612.0,10.9375,-104.8125,64361614.0,10.9296875,-104.875,64361614.0,10.9296875,-104.875
64362030.0,11.25,-104.8125,64361637.0,11.15625,-104.875,64361637.0,11.0078125,-104.875,64361648.0,11.03125,-104.875,64361645.0,11.0078125,-104.875,64361636.0,11.0,-104.875,64361635.0,10.9609375,-104.875,64361632.0,10.9609375,-104.875,64361634.0,10.953125,-104.875,64361631.0,10.9609375,-104.875,64361632.0,10.921875,-104.875,64361634.0,10.9375,-104.875,64361634.0,10.921875,-104.875
64362070.0,11.2421875,-104.8125,64361657.0,11.1328125,-104.875,64361657.0,11.0078125,-104.875,64361668.0,11.0234375,-104.875,64361665.0,10.9921875,-104.875,64361656.0,10.9609375,-104.875,64361655.0,10.9765625,-104.875,64361652.0,10.9453125,-104.875,64361654.0,10.9375,-104.875,64361651.0,10.9453125,-104.875,64361652.0,10.9453125,-104.875,64361654.0,10.9375,-104.875,64361654.0,10.9140625,-104.875
64362110.0,11.2421875,-104.8125,64361677.0,11.1640625,-104.875,64361677.0,10.9921875,-104.875,64361688.0,11.0,-104.875,64361685.0,11.0,-104.875,64361676.0,10.984375,-104.875,64361675.0,10.9765625,-104.875,64361672.0,10.96875,-104.875,64361674.0,10.953125,-104.875,64361671.0,10.9609375,-104.875,64361672.0,10.9296875,-104.875,64361674.0,10.9296875,-104.875,64361674.0,10.9375,-104.875
64362150.0,11.2421875,-104.8125,64361697.0,11.125,-104.8125,64361697.0,11.0078125,-104.875,64361708.0,11.0078125,-104.875,64361705.0,10.9921875,-104.8125,64361696.0,10.9765625,-104.8125,64361695.0,10.96875,-104.875,64361692.0,10.9609375,-104.875,64361694.0,10.9453125,-104.875,64361691.0,10.9453125,-104.875,64361692.0,10.9453125,-104.875,64361694.0,10.90625,-104.8125,64361694.0,10.9375,-104.875
