freq__2019-06-27_14-33-42_,rs__2019-06-27_14-33-42_,xs__2019-06-27_14-33-42_,freq__2019-06-27_14-41-42_,rs__2019-06-27_14-41-42_,xs__2019-06-27_14-41-42_,freq__2019-06-27_14-56-42_,rs__2019-06-27_14-56-42_,xs__2019-06-27_14-56-42_,freq__2019-06-27_15-03-26_,rs__2019-06-27_15-03-26_,xs__2019-06-27_15-03-26_,freq__2019-06-27_15-10-12_,rs__2019-06-27_15-10-12_,xs__2019-06-27_15-10-12_,freq__2019-06-27_15-16-58_,rs__2019-06-27_15-16-58_,xs__2019-06-27_15-16-58_,freq__2019-06-27_15-23-44_,rs__2019-06-27_15-23-44_,xs__2019-06-27_15-23-44_,freq__2019-06-27_15-30-28_,rs__2019-06-27_15-30-28_,xs__2019-06-27_15-30-28_,freq__2019-06-27_15-37-14_,rs__2019-06-27_15-37-14_,xs__2019-06-27_15-37-14_,freq__2019-06-27_15-44-02_,rs__2019-06-27_15-44-02_,xs__2019-06-27_15-44-02_,freq__2019-06-27_15-50-48_,rs__2019-06-27_15-50-48_,xs__2019-06-27_15-50-48_,freq__2019-06-27_15-57-32_,rs__2019-06-27_15-57-32_,xs__2019-06-27_15-57-32_,freq__2019-06-27_16-04-18_,rs__2019-06-27_16-04-18_,xs__2019-06-27_16-04-18_,freq__2019-06-27_16-11-04_,rs__2019-06-27_16-11-04_,xs__2019-06-27_16-11-04_
24747256.0,8.171875,-263.5,24756462.0,7.67578125,-259.0,24756464.0,6.8046875,-258.5,24756466.0,7.19140625,-258.75,24756473.0,7.05859375,-258.25,24756468.0,7.26953125,-258.75,24756467.0,7.140625,-258.75,24756467.0,7.1328125,-258.75,24756467.0,7.1328125,-258.75,24756466.0,7.11328125,-258.75,24756464.0,7.13671875,-258.75,24756464.0,7.13671875,-258.75,24756466.0,7.10546875,-258.75,24756465.0,7.09765625,-258.75
24747276.0,8.140625,-263.5,24756472.0,7.671875,-259.0,24756474.0,6.86328125,-258.5,24756476.0,7.16796875,-258.75,24756483.0,7.23046875,-258.75,24756478.0,7.21484375,-258.75,24756477.0,7.25,-258.75,24756477.0,7.21484375,-258.75,24756477.0,7.19921875,-258.75,24756476.0,7.04296875,-258.75,24756474.0,7.11328125,-258.75,24756474.0,7.10546875,-258.75,24756476.0,7.140625,-258.75,24756475.0,7.08203125,-258.75
24747296.0,8.1484375,-263.5,24756482.0,7.6328125,-259.0,24756484.0,6.87890625,-258.5,24756486.0,7.12109375,-258.75,24756493.0,7.171875,-258.75,24756488.0,7.19140625,-258.75,24756487.0,7.1484375,-258.75,24756487.0,7.1328125,-258.75,24756487.0,7.08984375,-258.75,24756486.0,7.08203125,-258.75,24756484.0,7.02734375,-258.75,24756484.0,7.12109375,-258.75,24756486.0,7.08203125,-258.75,24756485.0,6.97265625,-258.75
24747316.0,8.1015625,-263.5,24756492.0,7.671875,-259.0,24756494.0,6.87109375,-258.5,24756496.0,7.15234375,-258.75,24756503.0,7.21875,-258.75,24756498.0,7.23828125,-258.75,24756497.0,7.125,-258.75,24756497.0,7.140625,-258.75,24756497.0,7.1171875,-258.75,24756496.0,7.0703125,-258.75,24756494.0,7.08203125,-258.75,24756494.0,7.125,-258.5,24756496.0,7.04296875,-258.75,24756495.0,7.0078125,-258.75
24747336.0,8.1171875,-263.5,24756502.0,7.64453125,-259.0,24756504.0,6.85546875,-258.5,24756506.0,7.1484375,-258.75,24756513.0,7.22265625,-258.75,24756508.0,7.171875,-258.75,24756507.0,7.09765625,-258.75,24756507.0,7.08984375,-258.75,24756507.0,7.07421875,-258.75,24756506.0,7.06640625,-258.75,24756504.0,7.09765625,-258.75,24756504.0,7.0703125,-258.75,24756506.0,7.01953125,-258.5,24756505.0,7.0546875,-258.75
24747356.0,8.203125,-263.5,24756512.0,7.62890625,-259.0,24756514.0,6.8203125,-258.5,24756516.0,7.23828125,-258.75,24756523.0,7.171875,-258.75,24756518.0,7.15234375,-258.75,24756517.0,7.11328125,-258.75,24756517.0,7.1015625,-258.75,24756517.0,7.15234375,-258.75,24756516.0,7.03515625,-258.75,24756514.0,7.06640625,-258.75,24756514.0,7.140625,-258.75,24756516.0,7.03515625,-258.75,24756515.0,7.14453125,-258.75
24747376.0,8.1953125,-263.5,24756522.0,7.6796875,-259.0,24756524.0,6.84765625,-258.5,24756526.0,7.21875,-258.75,24756533.0,7.24609375,-258.75,24756528.0,7.1875,-258.75,24756527.0,7.09375,-258.75,24756527.0,7.12109375,-258.75,24756527.0,7.13671875,-258.75,24756526.0,7.0859375,-258.75,24756524.0,7.0703125,-258.75,24756524.0,7.03515625,-258.75,24756526.0,7.0859375,-258.75,24756525.0,7.1328125,-258.75
24747396.0,8.1875,-263.5,24756532.0,7.58984375,-259.0,24756534.0,6.8125,-258.5,24756536.0,7.1640625,-258.75,24756543.0,7.2265625,-258.75,24756538.0,7.19140625,-258.75,24756537.0,7.19921875,-258.75,24756537.0,7.22265625,-258.75,24756537.0,7.03125,-258.75,24756536.0,7.08984375,-258.75,24756534.0,7.12890625,-258.75,24756534.0,7.10546875,-258.75,24756536.0,7.0859375,-258.75,24756535.0,7.01171875,-258.75
24747416.0,8.265625,-263.5,24756542.0,7.7109375,-259.0,24756544.0,6.84375,-258.25,24756546.0,7.1796875,-258.75,24756553.0,7.23046875,-258.75,24756548.0,7.23046875,-258.75,24756547.0,7.10546875,-258.75,24756547.0,7.2265625,-258.75,24756547.0,7.15625,-258.75,24756546.0,7.078125,-258.75,24756544.0,7.18359375,-258.75,24756544.0,7.02734375,-258.75,24756546.0,7.09765625,-258.75,24756545.0,7.08203125,-258.75
24747436.0,8.1875,-263.5,24756552.0,7.69140625,-259.0,24756554.0,6.8359375,-258.5,24756556.0,7.17578125,-258.75,24756563.0,7.2265625,-258.75,24756558.0,7.21875,-258.75,24756557.0,7.1796875,-258.75,24756557.0,7.15625,-258.75,24756557.0,7.09375,-258.75,24756556.0,7.078125,-258.75,24756554.0,7.15625,-258.5,24756554.0,7.109375,-258.5,24756556.0,7.1171875,-258.5,24756555.0,7.14453125,-258.75
24747456.0,8.2265625,-263.25,24756562.0,7.671875,-259.0,24756564.0,6.84375,-258.25,24756566.0,7.23828125,-258.5,24756573.0,7.1796875,-258.75,24756568.0,7.1171875,-258.75,24756567.0,7.15234375,-258.75,24756567.0,7.203125,-258.75,24756567.0,7.12890625,-258.75,24756566.0,7.10546875,-258.75,24756564.0,7.2109375,-258.75,24756564.0,7.1484375,-258.75,24756566.0,7.1015625,-258.5,24756565.0,6.98828125,-258.75
24747476.0,8.203125,-263.25,24756572.0,7.66796875,-259.0,24756574.0,6.8515625,-258.5,24756576.0,7.22265625,-258.75,24756583.0,7.234375,-258.5,24756578.0,7.18359375,-258.75,24756577.0,7.1640625,-258.75,24756577.0,7.1875,-258.5,24756577.0,7.140625,-258.5,24756576.0,7.1171875,-258.75,24756574.0,7.1171875,-258.5,24756574.0,7.0234375,-258.5,24756576.0,7.046875,-258.5,24756575.0,7.11328125,-258.75
24747496.0,8.15625,-263.25,24756582.0,7.734375,-259.0,24756584.0,6.83984375,-258.5,24756586.0,7.1328125,-258.75,24756593.0,7.28125,-258.75,24756588.0,7.21484375,-258.75,24756587.0,7.11328125,-258.75,24756587.0,7.23828125,-258.75,24756587.0,7.05078125,-258.75,24756586.0,7.0859375,-258.75,24756584.0,7.05859375,-258.75,24756584.0,7.0859375,-258.75,24756586.0,7.1328125,-258.5,24756585.0,7.0078125,-258.5
